class_name,precision,recall,f1
Cherry,0.7142857142857143,0.7142857142857143,0.7142857142857143
Coffee-plant,1.0,1.0,1.0
Cucumber,0.6666666666666666,0.6666666666666666,0.6666666666666666
Fox_nut(Makhana),0.75,1.0,0.8571428571428571
Lemon,1.0,1.0,1.0
Olive-tree,0.6666666666666666,0.6666666666666666,0.6666666666666666
Pearl_millet(bajra),1.0,1.0,1.0
Tobacco-plant,1.0,0.8333333333333334,0.9090909090909091
almond,1.0,0.6666666666666666,0.8
banana,1.0,1.0,1.0
cardamom,1.0,0.6666666666666666,0.8
chilli,1.0,1.0,1.0
clove,0.8571428571428571,1.0,0.9230769230769231
coconut,1.0,1.0,1.0
cotton,1.0,0.8333333333333334,0.9090909090909091
gram,0.5,0.6666666666666666,0.5714285714285714
jowar,1.0,1.0,1.0
jute,0.75,1.0,0.8571428571428571
maize,0.75,1.0,0.8571428571428571
mustard-oil,1.0,0.6666666666666666,0.8
papaya,0.5,1.0,0.6666666666666666
pineapple,1.0,1.0,1.0
rice,0.6,1.0,0.75
soyabean,0.5,0.6666666666666666,0.5714285714285714
sugarcane,0.5,0.3333333333333333,0.4
sunflower,1.0,0.6666666666666666,0.8
tea,1.0,0.3333333333333333,0.5
tomato,1.0,0.6666666666666666,0.8
vigna-radiati(Mung),0.0,0.0,0.0
wheat,1.0,1.0,1.0
