class_name,precision,recall,f1
Cherry,0.6666666666666666,0.5714285714285714,0.6153846153846154
Coffee-plant,0.0,0.0,0.0
Cucumber,0.3333333333333333,0.5,0.4
Fox_nut(Makhana),0.6666666666666666,0.6666666666666666,0.6666666666666666
Lemon,0.2857142857142857,0.3333333333333333,0.3076923076923077
Olive-tree,0.6666666666666666,0.6666666666666666,0.6666666666666666
Pearl_millet(bajra),0.5,1.0,0.6666666666666666
Tobacco-plant,0.3,0.5,0.375
almond,0.0,0.0,0.0
banana,0.4,0.6666666666666666,0.5
cardamom,0.0,0.0,0.0
chilli,0.3333333333333333,0.3333333333333333,0.3333333333333333
clove,0.4,0.3333333333333333,0.36363636363636365
coconut,1.0,1.0,1.0
cotton,0.5,0.6666666666666666,0.5714285714285714
gram,0.18181818181818182,0.3333333333333333,0.23529411764705882
jowar,0.8571428571428571,1.0,0.9230769230769231
jute,0.75,1.0,0.8571428571428571
maize,0.42857142857142855,0.5,0.46153846153846156
mustard-oil,1.0,0.6666666666666666,0.8
papaya,1.0,0.3333333333333333,0.5
pineapple,0.75,1.0,0.8571428571428571
rice,0.6666666666666666,0.6666666666666666,0.6666666666666666
soyabean,0.5,0.3333333333333333,0.4
sugarcane,0.5,0.3333333333333333,0.4
sunflower,1.0,0.6666666666666666,0.8
tea,0.6666666666666666,0.6666666666666666,0.6666666666666666
tomato,0.6666666666666666,0.6666666666666666,0.6666666666666666
vigna-radiati(Mung),0.0,0.0,0.0
wheat,0.6666666666666666,0.6666666666666666,0.6666666666666666
